oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Huawei,P Smart S,2020,2020,157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),163.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.3,"1080 x 2400 pixels, 20:9 ratio (~418 ppi density)","Fingerprint (under display, optical), accelerometer, proximity, compass",Android 10
Huawei,Y8p,2020,2020,157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),163.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.3,"1080 x 2400 pixels, 20:9 ratio (~418 ppi density)","Fingerprint (under display, optical), accelerometer, proximity, compass",Android 10
Huawei,P40 lite 5G,2020,2020,162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),189.0,"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.5,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Huawei,P30 Pro New Edition,2020,2020,158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in),192.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.47,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum",Android 10
Huawei,MatePad T8,2020,2020,199.7 x 121.1 x 8.6 mm (7.86 x 4.77 x 0.34 in),310.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",8.0,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Accelerometer,Android 10
Huawei,Y8s,2020,2020,162.4 x 77.1 x 8.1 mm (6.39 x 3.04 x 0.32 in),180.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.5,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
Huawei,Y6p,2020,2020,159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.3,"720 x 1600 pixels, 20:9 ratio (~278 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 10
Huawei,Y5p,2020,2020,146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in),144.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.45,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Accelerometer, proximity",Android 10
Huawei,P smart 2020,2020,2020,155.2 x 73.4 x 8 mm (6.11 x 2.89 x 0.31 in),160.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.21,"1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
Huawei,nova 7 Pro 5G,2020,2020,160.4 x 73.7 x 8 mm (6.31 x 2.90 x 0.31 in),178.0,"Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.57,"1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Huawei,nova 7 5G,2020,2020,160.6 x 74.3 x 8 mm (6.32 x 2.93 x 0.31 in),180.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.53,"1080 x 2400 pixels, 20:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Huawei,nova 7 SE,2020,2020,162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),189.0,"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.5,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Huawei,MatePad,2020,2020,245.2 x 155 x 7.4 mm (9.65 x 6.10 x 0.29 in),450.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",10.4,"1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Accelerometer, gyro, proximity, compass",Android 10
Huawei,Watch GT 2e,2020,2020,53 x 46.8 x 10.8 mm (2.09 x 1.84 x 0.43 in),43.0,,"AMOLED capacitive touchscreen, 16M colors",1.39,"454 x 454 pixels, 1:1 ratio (~326 ppi density)","Accelerometer, gyro, heart rate, barometer, compass, SpO2",Huawei wearable platform
Huawei,P40 Pro+,2020,2020,158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in),226.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.58,1200 x 2640 pixels (~441 ppi density),"Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum",Android 10
Huawei,P40 Pro,2020,2020,158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in),209.0,"Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.58,1200 x 2640 pixels (~441 ppi density),"Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum",Android 10
Huawei,P40,2020,2020,148.9 x 71.1 x 8.5 mm (5.86 x 2.80 x 0.33 in),175.0,"Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.1,"1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)","Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum",Android 10
Huawei,P40 lite E,2020,2020,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.39,"720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
Huawei,P40 lite,2020,2020,159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),183.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.4,1080 x 2310 pixels (~398 ppi density),"Fingerprint (side-mounted), accelerometer, proximity, compass",Android 10
Huawei,MatePad Pro 5G,2020,2020,246 x 159 x 7.2 mm (9.69 x 6.26 x 0.28 in),460.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",10.8,"2560 x 1600 pixels, 16:10 ratio (~280 ppi density)","Accelerometer, gyro, proximity, compass",Android 10
Huawei,Mate Xs,2020,2020,Unfolded: 161.3 x 146.2 x 5.4 mmFolded: 161.3 x 78.5 x 11 mm,300.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Foldable OLED capacitive touchscreen, 16M colors",8.0,2200 x 2480 pixels (~414 ppi density),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Android 10
Huawei,P30 lite New Edition,2020,2020,152.9 x 72.7 x 7.4 mm (6.02 x 2.86 x 0.29 in),9.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.15,1080 x 2312 pixels (~415 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Huawei,Y7p,2020,2020,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.39,"720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
Huawei,nova 7i,2020,2020,159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),183.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.4,1080 x 2310 pixels (~398 ppi density),"Fingerprint (side-mounted), accelerometer, proximity, compass",Android 10
